doctor_id,department,doctor_avg_consult_minutes,day_of_week,hour_of_day,queue_length_ahead,patient_type,wait_time_minutes
DOC4,Pediatrics,12,Friday,19,4,normal,55.18
DOC5,Dermatology,8,Tuesday,16,3,normal,38.81
DOC6,General Medicine,10,Friday,17,3,normal,56.4
DOC3,Orthopedics,20,Thursday,15,5,normal,155.32
DOC6,General Medicine,10,Tuesday,18,3,normal,50.4
DOC6,General Medicine,10,Monday,12,3,normal,41.58
DOC5,Dermatology,8,Sunday,10,6,emergency,2.98
DOC2,General Medicine,10,Sunday,13,5,emergency,1.83
DOC1,Cardiology,15,Monday,16,0,normal,28.44
DOC1,Cardiology,15,Wednesday,13,6,normal,86.79
DOC5,Dermatology,8,Wednesday,16,6,normal,72.35
DOC3,Orthopedics,20,Sunday,15,4,normal,88.1
DOC5,Dermatology,8,Thursday,15,6,normal,73.09
DOC2,General Medicine,10,Sunday,17,2,normal,30.21
DOC4,Pediatrics,12,Friday,17,3,normal,59.68
DOC3,Orthopedics,20,Saturday,16,6,normal,124.95
DOC1,Cardiology,15,Wednesday,9,2,normal,67.3
DOC5,Dermatology,8,Thursday,18,6,normal,76.0
DOC6,General Medicine,10,Saturday,19,6,normal,46.76
DOC4,Pediatrics,12,Sunday,12,6,normal,48.86
DOC2,General Medicine,10,Wednesday,15,5,normal,78.78
DOC1,Cardiology,15,Monday,11,10,normal,302.65
DOC1,Cardiology,15,Friday,10,4,normal,102.75
DOC4,Pediatrics,12,Sunday,11,3,normal,43.65
DOC6,General Medicine,10,Saturday,14,8,normal,54.84
DOC1,Cardiology,15,Thursday,13,7,normal,97.19
DOC1,Cardiology,15,Wednesday,10,5,normal,126.17
DOC2,General Medicine,10,Tuesday,9,4,normal,66.57
DOC2,General Medicine,10,Monday,16,9,normal,167.54
DOC1,Cardiology,15,Tuesday,14,1,emergency,5.16
DOC6,General Medicine,10,Sunday,14,5,normal,32.48
DOC3,Orthopedics,20,Sunday,16,6,normal,123.53
DOC5,Dermatology,8,Tuesday,13,3,normal,20.95
DOC6,General Medicine,10,Monday,16,6,normal,117.27
DOC3,Orthopedics,20,Friday,14,0,normal,17.33
DOC4,Pediatrics,12,Tuesday,18,3,normal,64.72
DOC2,General Medicine,10,Saturday,13,2,normal,26.36
DOC5,Dermatology,8,Thursday,16,8,normal,93.85
DOC4,Pediatrics,12,Wednesday,9,3,normal,65.74
DOC5,Dermatology,8,Tuesday,18,2,normal,31.82
DOC5,Dermatology,8,Tuesday,19,6,normal,45.04
DOC6,General Medicine,10,Friday,9,5,normal,80.34
DOC5,Dermatology,8,Wednesday,11,1,normal,21.59
DOC6,General Medicine,10,Sunday,12,4,normal,26.16
DOC4,Pediatrics,12,Friday,15,5,normal,99.04
DOC4,Pediatrics,12,Monday,18,7,normal,163.45
DOC6,General Medicine,10,Wednesday,16,7,normal,97.89
DOC2,General Medicine,10,Wednesday,15,5,normal,82.71
DOC1,Cardiology,15,Wednesday,17,5,normal,117.67
DOC5,Dermatology,8,Thursday,11,2,normal,33.64
DOC1,Cardiology,15,Friday,14,3,normal,47.67
DOC4,Pediatrics,12,Friday,16,3,normal,65.33
DOC5,Dermatology,8,Monday,12,6,normal,60.47
DOC2,General Medicine,10,Tuesday,16,5,normal,82.43
DOC3,Orthopedics,20,Friday,18,6,emergency,5.52
DOC5,Dermatology,8,Saturday,11,6,normal,55.79
DOC5,Dermatology,8,Thursday,9,3,normal,49.45
DOC3,Orthopedics,20,Tuesday,9,4,emergency,5.23
DOC5,Dermatology,8,Friday,10,7,normal,83.51
DOC4,Pediatrics,12,Saturday,15,6,emergency,8.92
DOC6,General Medicine,10,Friday,10,3,normal,57.1
DOC4,Pediatrics,12,Monday,11,6,normal,150.06
DOC6,General Medicine,10,Friday,14,2,normal,29.89
DOC1,Cardiology,15,Tuesday,17,4,emergency,5.07
DOC4,Pediatrics,12,Monday,16,3,normal,76.57
DOC2,General Medicine,10,Friday,18,1,normal,30.1
DOC6,General Medicine,10,Wednesday,10,3,normal,54.06
DOC4,Pediatrics,12,Monday,9,4,normal,105.96
DOC6,General Medicine,10,Tuesday,16,6,normal,92.49
DOC5,Dermatology,8,Saturday,13,2,normal,12.86
DOC6,General Medicine,10,Saturday,16,3,normal,35.68
DOC4,Pediatrics,12,Wednesday,12,0,normal,6.88
DOC6,General Medicine,10,Saturday,11,7,normal,79.05
